0,1,filename
5,13,2.txt
10,24,5.txt
5,22,9.txt
5,12,12.txt
5,14,14.txt
10,6,16.txt
5,13,17.txt
5,22,21.txt
5,24,23.txt
5,14,24.txt
5,14,26.txt
5,22,28.txt
14,1,30.txt
5,13,32.txt
10,6,34.txt
5,24,36.txt
5,6,40.txt
5,12,41.txt
10,24,49.txt
5,20,53.txt
5,12,55.txt
5,11,57.txt
5,22,60.txt
5,14,61.txt
5,6,63.txt
5,6,65.txt
10,11,68.txt
10,11,71.txt
10,24,72.txt
5,22,76.txt
7,8,78.txt
5,22,81.txt
5,22,84.txt
5,22,86.txt
5,30,89.txt
5,10,90.txt
5,22,92.txt
8,8,95.txt
5,6,97.txt
6,1,98.txt
5,22,100.txt
5,10,102.txt
5,6,105.txt
5,19,108.txt
5,22,110.txt
10,6,112.txt
5,6,114.txt
10,11,116.txt
5,30,118.txt
10,24,121.txt
5,19,123.txt
5,20,124.txt
5,10,126.txt
5,20,128.txt
5,6,130.txt
5,10,132.txt
5,10,135.txt
5,15,137.txt
5,6,141.txt
5,18,144.txt
5,22,145.txt
10,24,147.txt
5,22,149.txt
5,30,151.txt
5,22,154.txt
5,18,156.txt
5,22,158.txt
5,22,160.txt
5,30,161.txt
5,16,163.txt
5,21,165.txt
5,6,167.txt
5,10,169.txt
5,6,171.txt
5,6,173.txt
5,15,175.txt
5,6,177.txt
5,6,179.txt
10,24,182.txt
5,6,184.txt
5,22,188.txt
5,6,189.txt
5,22,191.txt
5,6,194.txt
10,6,197.txt
5,24,199.txt
10,6,203.txt
10,6,204.txt
5,6,209.txt
5,14,210.txt
5,22,212.txt
5,15,214.txt
5,20,217.txt
5,30,219.txt
5,22,220.txt
6,1,222.txt
5,10,225.txt
10,11,227.txt
5,22,229.txt
5,20,231.txt
5,22,236.txt
10,11,241.txt
10,24,242.txt
5,14,245.txt
5,6,247.txt
5,20,249.txt
10,24,250.txt
10,6,252.txt
5,19,256.txt
5,10,258.txt
5,22,260.txt
5,12,261.txt
5,22,264.txt
5,19,269.txt
10,11,272.txt
5,22,274.txt
5,6,276.txt
5,20,280.txt
10,24,282.txt
5,30,283.txt
5,6,284.txt
5,18,286.txt
5,6,288.txt
5,14,290.txt
10,24,293.txt
5,14,295.txt
10,26,297.txt
10,11,300.txt
5,22,303.txt
5,6,305.txt
5,13,307.txt
5,21,311.txt
5,12,313.txt
10,6,318.txt
10,24,320.txt
