0,1,filename
1,1,2.txt
1,1,5.txt
8,4,9.txt
1,7,12.txt
1,1,14.txt
1,7,16.txt
1,7,17.txt
1,1,21.txt
1,7,23.txt
1,7,24.txt
1,1,26.txt
1,1,28.txt
1,1,30.txt
1,7,32.txt
1,7,34.txt
1,6,36.txt
1,1,40.txt
1,1,41.txt
1,1,49.txt
1,6,53.txt
1,7,55.txt
1,1,57.txt
1,1,60.txt
1,1,61.txt
1,7,63.txt
1,1,65.txt
1,1,68.txt
1,1,71.txt
1,6,72.txt
1,6,76.txt
1,1,78.txt
1,1,81.txt
1,1,84.txt
1,1,86.txt
6,1,89.txt
1,1,90.txt
1,6,92.txt
1,1,95.txt
1,1,97.txt
1,7,98.txt
1,1,100.txt
1,1,102.txt
1,1,105.txt
1,1,108.txt
1,7,110.txt
1,7,112.txt
1,1,114.txt
1,7,116.txt
1,1,118.txt
1,1,121.txt
1,6,123.txt
1,1,124.txt
1,1,126.txt
1,1,128.txt
1,1,130.txt
1,7,132.txt
1,1,135.txt
1,7,137.txt
1,1,141.txt
1,1,144.txt
1,7,145.txt
1,7,147.txt
1,1,149.txt
1,1,151.txt
1,1,154.txt
1,6,156.txt
1,1,158.txt
1,7,160.txt
1,1,161.txt
6,1,163.txt
1,1,165.txt
1,1,167.txt
1,1,169.txt
1,1,171.txt
1,1,173.txt
1,1,175.txt
1,1,177.txt
1,1,179.txt
1,1,182.txt
1,1,184.txt
1,1,188.txt
1,1,189.txt
1,1,191.txt
1,6,194.txt
1,1,197.txt
1,7,199.txt
1,1,203.txt
1,7,204.txt
1,1,209.txt
1,1,210.txt
1,1,212.txt
1,1,214.txt
1,1,217.txt
1,6,219.txt
1,1,220.txt
1,1,222.txt
1,1,225.txt
1,1,227.txt
1,1,229.txt
1,7,231.txt
1,6,236.txt
1,1,241.txt
1,11,242.txt
1,1,245.txt
1,1,247.txt
1,7,249.txt
1,1,250.txt
1,1,252.txt
1,1,256.txt
1,1,258.txt
1,1,260.txt
1,1,261.txt
1,7,264.txt
1,1,269.txt
1,1,272.txt
1,1,274.txt
8,4,276.txt
1,7,280.txt
