0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,filename
0,0,0,0,0,27,26,20,0,0,0,11,18,24,20,15,9,25,26,12,15,12,15,27,0,7,0,0,0,0,0,4,0,4,0,0,26,0,18,15,10,8,14,0,0,0,2.txt
1,16,22,20,24,23,3,8,6,15,16,21,3,23,6,13,24,8,11,7,26,1,5,20,28,22,7,8,26,17,20,19,19,22,28,26,20,7,11,7,13,15,24,25,30,1,5.txt
0,0,0,0,0,27,26,20,0,0,0,11,18,24,20,15,9,25,9,12,3,15,15,28,0,7,0,0,0,0,0,4,0,4,26,0,26,0,18,15,10,8,14,13,16,24,9.txt
0,0,0,0,0,27,26,20,0,0,0,11,18,24,20,15,9,25,11,7,15,12,5,20,28,7,27,21,30,0,0,4,0,4,0,0,26,0,18,15,10,8,10,0,0,0,12.txt
0,0,0,0,0,27,26,20,0,0,0,11,18,24,20,15,9,25,26,12,15,12,15,27,0,7,0,0,0,0,0,4,0,4,30,0,26,0,18,15,10,8,14,2,16,24,14.txt
0,0,0,0,0,27,26,28,0,0,0,11,21,0,22,15,19,0,26,12,0,0,15,18,0,9,27,21,30,4,30,21,5,17,0,9,10,9,14,4,10,8,18,0,0,9,16.txt
0,0,0,0,0,27,26,20,0,0,0,11,18,24,20,15,9,25,26,12,15,12,15,18,0,7,27,21,30,0,0,4,0,4,0,0,26,0,18,15,10,8,10,0,0,8,17.txt
0,0,0,0,0,27,26,20,0,0,0,11,18,24,20,15,9,25,26,12,15,12,15,27,7,7,0,0,0,0,0,4,0,4,0,0,26,0,18,15,10,8,14,0,0,0,21.txt
0,0,0,0,0,27,26,20,0,0,0,11,18,24,20,15,9,25,26,12,15,12,10,27,7,7,0,0,0,0,0,4,0,4,0,0,26,0,18,15,10,8,14,0,0,8,23.txt
0,0,0,0,0,27,26,20,0,0,0,11,18,24,20,15,9,23,26,12,0,0,10,18,0,7,27,21,30,0,0,6,0,19,2,0,26,0,18,15,10,8,10,2,16,28,24.txt
0,0,0,0,0,27,26,20,0,0,0,11,18,24,20,15,9,23,26,12,15,12,15,27,0,7,0,0,0,0,0,4,0,4,6,3,3,3,3,3,10,8,14,13,16,24,26.txt
0,0,0,0,0,27,26,20,0,0,0,11,18,24,20,15,9,0,26,12,0,0,15,18,0,7,27,21,30,0,0,21,0,0,0,0,26,0,18,15,10,8,10,0,0,0,28.txt
0,0,0,0,0,27,26,20,0,0,0,11,18,24,20,0,9,25,26,0,15,12,15,22,0,19,25,19,28,0,0,4,0,4,6,0,26,0,18,15,10,8,9,17,28,29,30.txt
1,5,14,16,13,3,10,6,21,16,7,30,6,20,11,16,11,8,23,11,21,22,7,5,21,27,24,17,15,19,6,18,9,15,21,19,13,27,11,23,13,15,24,21,24,17,32.txt
