0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,filename
6,0,0,5,1,1,0,1,5,0,0,4,0,2,0,8,0,2.txt
0,0,8,0,1,1,0,1,0,0,6,0,0,10,0,0,4,5.txt
6,0,6,5,6,1,6,5,5,0,0,5,0,7,7,8,0,9.txt
0,7,8,0,1,1,0,1,0,0,0,4,0,2,0,0,4,12.txt
0,7,0,5,1,1,0,1,0,0,0,4,0,2,0,8,0,14.txt
0,0,8,0,1,1,0,1,0,0,0,4,0,9,0,0,4,16.txt
0,7,0,5,1,1,0,1,0,0,0,4,0,12,0,8,0,17.txt
0,0,8,5,1,1,0,1,0,0,0,4,0,2,0,8,0,21.txt
0,0,8,0,1,1,0,1,0,0,0,4,0,9,0,8,4,23.txt
0,0,0,5,1,6,0,1,5,0,0,4,0,2,0,8,0,24.txt
6,7,0,5,6,1,5,1,5,0,0,4,0,2,0,8,0,26.txt
0,0,0,5,1,1,0,1,0,0,0,4,0,2,0,8,4,28.txt
6,0,0,5,6,1,5,5,5,0,0,4,0,2,0,8,0,30.txt
0,0,8,0,8,6,0,1,0,0,0,4,0,9,0,0,0,32.txt
6,0,0,5,6,6,5,1,5,0,0,4,0,9,0,8,4,34.txt
0,7,8,0,1,1,0,1,0,0,0,4,0,2,0,0,4,36.txt
0,0,0,5,1,1,0,1,0,0,0,4,0,2,0,8,0,40.txt
6,0,0,5,1,1,0,1,5,0,0,4,0,2,0,8,0,41.txt
0,0,8,0,1,1,0,1,0,0,0,4,0,2,0,0,4,49.txt
6,0,0,5,6,1,5,1,5,0,0,4,0,2,0,8,4,53.txt
6,0,0,5,1,1,5,1,5,0,0,4,0,2,0,8,0,55.txt
0,0,0,5,6,1,0,1,5,0,0,4,0,2,0,8,4,57.txt
0,0,7,0,1,1,0,1,0,0,0,4,0,2,0,0,0,60.txt
6,0,0,5,6,1,5,5,5,0,0,4,0,2,0,8,0,61.txt
0,7,0,5,1,1,0,1,0,0,0,4,0,2,0,8,4,63.txt
6,0,0,5,6,1,5,1,5,0,0,4,0,2,0,8,0,65.txt
0,7,0,0,6,1,0,1,5,0,0,6,0,10,0,0,4,68.txt
6,7,0,5,1,1,0,1,5,0,0,4,0,2,0,8,4,71.txt
0,7,8,0,1,9,0,1,0,0,0,4,0,2,0,0,4,72.txt
0,0,8,0,1,1,0,1,0,0,0,4,0,2,0,0,0,76.txt
6,0,0,5,6,1,5,5,5,0,0,4,0,2,0,8,0,78.txt
0,0,8,0,1,1,0,1,0,0,0,4,0,2,0,0,4,81.txt
6,0,0,5,6,1,5,1,5,0,0,4,0,2,0,8,0,84.txt
0,0,7,0,1,6,0,1,0,0,0,4,0,2,0,0,0,86.txt
6,0,0,5,6,1,5,5,5,0,0,4,0,7,0,8,0,89.txt
0,0,7,0,1,1,0,1,0,0,0,4,0,2,0,0,0,90.txt
0,7,8,0,1,1,0,1,0,0,0,4,0,2,0,0,0,92.txt
0,0,0,5,6,1,0,1,5,0,0,4,0,2,0,8,0,95.txt
0,7,0,5,1,6,0,1,5,0,6,4,0,2,0,8,0,97.txt
0,0,7,5,1,1,0,1,0,0,0,4,0,9,0,8,0,98.txt
0,7,8,0,1,1,0,1,0,0,0,4,0,2,0,0,0,100.txt
0,0,0,5,1,1,0,1,5,0,0,4,0,2,0,8,0,102.txt
0,0,0,5,1,1,0,1,0,0,0,4,0,2,0,8,0,105.txt
0,0,0,5,1,1,0,1,0,0,0,4,0,2,0,8,0,108.txt
0,0,8,0,1,6,0,1,0,0,0,4,0,9,0,0,0,110.txt
0,0,0,5,1,1,0,1,0,0,0,4,0,9,0,8,4,112.txt
0,0,0,5,1,1,0,1,5,0,0,4,0,2,0,8,0,114.txt
6,0,0,5,1,1,5,1,5,0,6,4,0,9,0,8,4,116.txt
0,0,0,5,1,1,0,1,0,0,0,4,0,2,0,8,0,118.txt
0,0,8,0,6,6,0,1,0,0,0,4,0,2,0,0,4,121.txt
6,9,0,5,6,1,5,5,5,0,0,4,0,2,0,8,0,123.txt
0,0,0,5,1,6,0,1,0,0,0,4,0,2,0,8,0,124.txt
0,7,0,5,1,1,0,1,0,0,0,4,0,2,0,8,4,126.txt
0,7,8,5,1,1,0,1,0,0,0,4,0,2,0,8,4,128.txt
0,0,8,5,1,6,0,1,0,0,0,4,0,2,0,8,0,130.txt
0,7,8,0,1,6,0,1,0,0,0,4,0,12,0,0,0,132.txt
6,0,0,5,6,1,0,1,5,0,0,4,0,2,0,8,4,135.txt
0,0,8,0,1,1,0,1,0,0,0,4,0,2,0,0,0,137.txt
0,0,0,5,1,1,0,1,0,0,0,4,0,2,0,8,0,141.txt
0,0,0,5,1,1,0,1,0,0,0,4,0,2,0,8,0,144.txt
0,0,0,5,6,1,0,1,5,0,0,4,0,9,0,8,4,145.txt
0,7,8,0,1,1,0,1,0,0,0,4,0,9,0,0,4,147.txt
0,0,0,5,1,1,0,1,5,0,0,4,0,2,0,8,0,149.txt
6,0,0,5,1,1,0,1,5,0,0,4,0,2,0,8,0,151.txt
0,0,8,5,1,6,0,1,0,0,0,4,0,2,0,8,0,154.txt
0,7,8,5,1,1,0,1,0,0,0,4,0,2,0,8,0,156.txt
6,0,0,5,6,1,5,1,5,0,0,4,0,2,0,8,0,158.txt
0,0,8,0,1,1,0,1,0,0,0,4,0,2,0,0,0,160.txt
0,0,0,5,1,1,0,1,0,0,0,4,0,2,0,8,0,161.txt
6,0,0,5,6,1,5,5,5,0,0,4,0,7,0,8,0,163.txt
0,0,8,5,1,1,0,1,0,0,0,4,0,2,0,8,0,165.txt
6,7,0,5,6,1,5,5,5,0,0,4,0,2,0,8,0,167.txt
6,0,0,5,6,1,5,1,5,0,0,4,0,2,0,8,0,169.txt
0,7,8,5,1,1,0,1,0,0,0,4,0,2,0,8,0,171.txt
6,0,0,5,6,1,5,1,5,0,0,4,0,2,0,8,0,173.txt
0,7,0,5,1,6,0,1,5,0,0,4,0,2,0,8,0,175.txt
0,0,0,5,1,6,0,1,0,0,0,4,0,2,0,8,0,177.txt
0,0,0,5,1,1,0,1,0,0,0,4,0,2,0,8,0,179.txt
0,7,8,0,1,6,0,1,0,0,0,4,0,2,0,0,4,182.txt
0,7,0,5,1,1,0,1,0,0,0,4,0,2,0,8,0,184.txt
0,7,0,5,1,1,0,1,5,0,0,4,0,2,0,8,0,188.txt
6,0,0,5,6,1,5,5,5,0,0,4,0,2,0,8,0,189.txt
0,0,0,5,1,1,0,1,0,0,0,4,0,2,0,8,4,191.txt
0,7,0,0,6,1,0,1,5,0,0,4,0,10,0,0,0,194.txt
0,7,8,0,1,1,0,1,0,0,0,4,0,2,0,0,4,197.txt
0,0,7,5,1,1,0,1,0,0,0,4,0,9,0,8,4,199.txt
0,0,0,5,1,1,0,1,0,0,0,4,0,2,0,8,4,203.txt
0,7,8,0,1,1,0,1,0,0,0,4,0,2,0,0,4,204.txt
6,0,0,5,6,1,5,5,5,0,0,4,0,2,0,8,0,209.txt
0,0,0,5,1,1,0,1,0,0,0,4,0,2,0,8,0,210.txt
0,7,0,5,1,1,0,1,0,0,0,4,0,2,0,8,0,212.txt
6,0,0,5,6,1,5,5,5,0,0,4,0,2,0,8,0,214.txt
0,7,8,0,1,9,0,1,0,0,0,4,0,2,0,0,4,217.txt
0,0,7,0,1,6,0,1,0,0,0,4,0,2,0,0,0,219.txt
0,0,8,0,1,1,0,1,0,0,0,4,0,2,0,8,0,220.txt
0,0,7,5,1,1,0,1,0,0,0,4,0,2,0,8,0,222.txt
0,7,8,0,1,6,0,1,0,0,0,4,0,2,0,0,0,225.txt
0,0,0,5,1,1,0,1,0,0,0,4,0,2,0,8,4,227.txt
0,0,0,5,1,1,0,1,0,0,0,4,0,2,0,8,0,229.txt
0,0,7,0,1,1,0,1,0,0,0,4,0,9,0,0,4,231.txt
0,0,0,5,1,1,0,1,0,0,0,4,0,2,0,8,0,236.txt
6,0,0,5,1,1,5,1,5,0,0,4,0,2,0,8,4,241.txt
0,0,7,0,1,1,0,1,0,0,0,4,0,11,0,0,4,242.txt
0,0,0,5,1,1,0,1,5,0,0,4,0,2,0,8,0,245.txt
0,0,0,5,1,1,0,1,5,0,6,4,0,2,0,8,0,247.txt
0,0,8,0,1,6,0,1,0,0,6,4,0,9,0,0,0,249.txt
0,0,8,0,1,6,0,1,0,0,0,4,0,2,0,0,4,250.txt
0,0,0,5,1,1,0,1,0,0,0,4,0,2,0,8,4,252.txt
0,0,0,5,6,6,0,1,0,0,0,4,0,2,0,8,0,256.txt
0,0,0,5,1,1,0,1,0,0,0,4,0,2,0,8,0,258.txt
0,0,7,5,1,1,0,1,0,0,0,4,0,2,0,8,0,260.txt
6,0,0,5,1,1,5,1,5,0,0,4,0,2,0,8,0,261.txt
0,0,7,0,1,1,0,1,0,0,0,4,0,2,0,0,0,264.txt
0,0,8,0,1,1,0,1,0,0,0,4,0,2,0,0,0,269.txt
0,7,0,5,1,1,0,1,0,0,0,4,0,2,0,8,4,272.txt
0,0,8,0,1,1,0,1,0,0,0,4,0,2,0,0,0,274.txt
6,0,6,5,6,1,6,5,5,0,0,5,0,7,7,7,4,276.txt
0,0,8,0,1,1,0,1,0,0,0,4,0,2,0,0,0,280.txt
0,7,8,0,1,1,0,1,0,0,0,4,0,2,0,0,4,282.txt
0,0,0,5,1,6,0,1,0,0,0,4,0,2,0,8,4,283.txt
6,0,0,5,1,1,0,1,5,0,0,4,0,2,0,8,0,284.txt
6,0,0,5,1,1,5,1,5,0,0,4,0,2,0,8,0,286.txt
0,0,0,5,1,1,0,1,5,0,0,4,0,2,0,8,0,288.txt
6,0,0,5,6,1,5,1,5,0,0,4,0,2,0,8,0,290.txt
0,0,8,0,1,6,0,1,0,0,0,4,0,2,0,0,4,293.txt
6,0,0,5,6,1,5,5,5,0,0,4,0,2,0,8,0,295.txt
0,7,8,0,6,1,0,1,0,0,0,4,0,10,0,0,4,297.txt
6,0,0,5,6,1,5,1,5,0,0,4,0,2,0,8,4,300.txt
0,0,0,5,1,1,0,1,0,0,0,4,0,2,0,8,0,303.txt
6,0,0,5,6,1,5,1,5,0,0,4,0,2,0,8,0,305.txt
0,0,0,5,1,1,0,1,5,0,0,4,0,2,0,8,0,307.txt
0,0,0,5,1,1,0,1,5,0,0,4,0,2,0,8,0,311.txt
0,0,0,5,1,1,0,1,5,0,0,4,0,2,0,8,0,313.txt
0,0,8,0,1,1,0,1,0,0,0,4,0,2,0,0,4,318.txt
0,0,8,0,1,1,0,1,0,0,0,4,0,2,0,0,4,320.txt
0,7,0,5,6,1,0,1,5,0,0,4,0,2,0,8,7,322.txt
