0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,filename
0,0,0,4,4,0,0,3,0,0,0,18,3,3,0,0,4,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,2,2,0,0,3,0,0,0,0,0,1,1,0,0,3,0,0,0,2,2,4,4,4,4,1,1,0,0,1,2,0,0,2.txt
0,0,0,0,4,0,0,3,1,1,2,3,2,2,2,2,2,1,1,0,0,0,0,0,0,1,1,1,1,3,0,0,0,0,0,1,1,1,1,0,0,2,0,2,0,0,0,0,0,0,0,2,2,1,1,0,1,1,1,0,0,0,2,0,0,1,1,1,1,0,0,0,0,1,1,5.txt
3,0,4,4,0,0,6,0,6,0,4,17,0,3,7,3,3,2,2,2,2,2,2,2,0,2,2,0,3,2,3,2,0,2,3,2,2,2,2,0,3,0,2,0,2,3,0,2,3,4,2,0,0,3,2,2,2,2,2,2,2,2,2,2,6,2,2,2,0,0,2,0,0,0,0,9.txt
0,5,0,0,4,0,0,3,0,0,0,18,3,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,3,0,0,2,0,2,0,2,4,0,0,3,0,3,0,2,2,1,1,0,0,0,2,0,0,2,0,5,1,0,0,1,1,0,0,1,0,1,1,12.txt
0,0,0,4,4,0,0,3,0,0,0,18,3,4,0,0,4,0,0,0,2,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,2,2,0,0,3,0,3,0,2,2,1,1,0,0,0,2,0,0,2,2,5,0,4,0,1,1,0,1,1,1,0,0,14.txt
0,5,0,0,4,0,0,3,0,0,0,19,3,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,2,0,0,0,3,1,3,0,1,1,1,1,0,0,0,0,1,1,1,1,0,1,0,0,1,1,1,1,0,0,1,0,16.txt
0,0,0,4,4,0,0,3,0,0,0,18,3,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,3,0,0,2,0,0,0,2,2,0,0,3,0,3,0,0,2,1,1,0,0,0,2,0,0,2,2,5,0,0,0,1,1,1,1,0,0,1,1,17.txt
0,5,0,4,4,0,0,3,0,0,0,18,3,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,3,0,0,2,0,0,0,2,2,0,0,3,0,3,0,0,2,1,1,0,0,0,2,0,0,2,2,5,0,0,0,1,1,0,0,1,1,1,1,21.txt
0,5,0,4,4,0,0,3,0,0,0,18,3,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,3,0,0,2,0,2,0,2,2,0,0,3,0,3,0,2,2,1,1,0,0,0,2,0,0,1,1,5,0,0,0,1,1,0,0,1,0,1,0,23.txt
0,4,0,4,4,0,0,3,0,0,0,15,3,3,0,0,4,0,0,0,2,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,2,2,0,0,3,0,3,1,2,2,1,1,0,0,5,2,0,0,2,2,5,5,4,0,1,1,0,0,1,1,1,1,24.txt
