0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,filename
5,12,10,12,0,16,5,0,15,5,0,0,17,0,0,0,0,6,0,9,6,0,3,0,3,10,17,14,0,5,6,0,8,7,0,21,7,12,0,6,0,9,8,9,0,0,6,5,10,14,0,0,5,2.txt
5,16,10,12,0,6,5,6,18,13,0,5,5,4,9,4,9,0,0,9,6,0,0,0,4,10,26,7,12,0,6,6,8,6,6,25,9,9,18,0,10,9,9,9,0,6,6,7,5,21,16,11,5,5.txt
5,12,5,14,0,7,8,0,0,9,0,0,26,12,0,0,0,15,6,4,6,4,3,0,5,11,0,0,0,5,0,9,0,7,0,7,10,0,0,6,0,0,9,11,0,0,7,5,14,0,0,6,0,9.txt
5,12,10,12,0,16,5,0,15,0,10,0,5,5,0,4,0,0,0,0,6,7,3,0,4,10,29,9,9,4,6,0,8,8,17,26,8,12,17,7,8,9,11,9,0,0,6,6,12,19,6,7,0,12.txt
5,12,10,12,0,16,5,0,4,5,0,0,5,5,0,4,0,0,0,10,6,0,3,0,3,10,17,0,0,5,6,0,8,7,0,20,7,8,0,6,11,9,9,9,0,0,6,6,0,14,0,6,0,14.txt
5,12,10,12,0,16,5,6,15,0,4,5,5,5,0,4,0,0,0,0,9,5,3,10,4,10,30,9,4,4,6,6,8,8,8,26,8,14,17,5,7,9,7,9,0,0,6,7,11,15,14,7,6,16.txt
5,12,10,12,0,16,5,0,15,5,4,0,5,5,0,4,0,0,0,10,6,7,3,0,3,10,27,9,4,5,6,0,8,10,23,26,8,12,0,6,7,9,11,9,0,0,6,6,0,21,0,0,0,17.txt
5,12,10,12,0,16,5,0,15,0,0,0,5,5,0,4,0,0,0,0,7,0,3,8,3,10,29,0,5,5,6,6,8,8,23,26,8,14,0,6,8,9,11,9,0,0,6,7,5,14,0,6,6,21.txt
5,12,10,12,0,16,5,6,15,0,4,7,5,5,0,4,0,0,0,0,6,0,3,0,3,10,29,13,4,5,6,0,8,8,17,26,8,12,17,7,7,9,11,9,0,0,6,6,18,14,0,7,0,23.txt
5,12,10,11,0,16,5,5,15,0,0,0,5,5,0,4,0,0,0,0,0,7,3,0,3,9,17,14,6,5,6,6,8,7,6,20,7,12,0,6,7,9,9,9,0,0,6,5,10,14,10,6,0,24.txt
