0,1,2,3,4,5,filename
5,0,0,5,0,4,2.txt
0,0,0,7,6,0,5.txt
9,0,6,5,0,4,9.txt
0,0,0,5,0,0,12.txt
5,0,0,5,0,4,14.txt
0,0,0,7,6,0,16.txt
0,0,0,5,0,0,17.txt
0,0,0,5,0,0,21.txt
0,0,0,5,0,0,23.txt
5,5,0,5,0,4,24.txt
5,0,0,5,0,4,26.txt
0,0,0,5,0,0,28.txt
5,0,0,5,7,4,30.txt
0,5,0,7,6,0,32.txt
5,0,0,5,0,4,34.txt
0,0,0,5,0,0,36.txt
0,0,0,5,0,0,40.txt
5,0,0,5,6,4,41.txt
0,0,0,5,0,0,49.txt
5,0,0,5,0,4,53.txt
5,0,0,5,0,4,55.txt
5,0,0,5,7,4,57.txt
0,0,0,5,0,0,60.txt
5,0,0,5,0,4,61.txt
5,0,0,5,0,4,63.txt
5,0,0,5,6,4,65.txt
0,0,0,7,0,0,68.txt
5,0,0,5,0,4,71.txt
0,0,0,7,0,0,72.txt
0,0,0,7,7,0,76.txt
5,0,0,5,0,4,78.txt
0,0,0,5,0,0,81.txt
5,0,0,5,0,4,84.txt
0,5,0,5,0,0,86.txt
5,0,6,5,0,4,89.txt
0,0,0,5,0,0,90.txt
0,0,0,5,0,0,92.txt
0,0,0,5,0,0,95.txt
5,0,0,5,0,4,97.txt
0,0,0,5,0,0,98.txt
0,0,0,5,0,0,100.txt
5,0,0,5,0,4,102.txt
5,0,0,5,0,4,105.txt
0,0,0,5,0,0,108.txt
0,5,0,7,0,0,110.txt
0,0,0,5,0,0,112.txt
5,0,0,5,7,4,114.txt
5,0,0,5,0,4,116.txt
0,0,0,5,0,0,118.txt
0,5,0,7,0,0,121.txt
5,0,6,5,0,4,123.txt
0,0,0,5,0,0,124.txt
0,0,0,5,0,0,126.txt
0,0,0,5,0,0,128.txt
0,5,0,5,0,0,130.txt
0,0,0,5,0,0,132.txt
5,0,0,5,0,4,135.txt
0,0,0,7,7,0,137.txt
0,0,0,5,0,0,141.txt
