0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,filename
1,1,4,1,1,1,1,1,1,1,1,5,1,1,4,3,1,2,1,1,1,1,1,1,1,4,2.txt
1,1,1,1,1,1,1,1,1,1,1,5,1,1,4,1,1,10,1,3,1,1,1,1,1,1,5.txt
4,3,3,3,1,1,4,3,5,3,2,8,1,3,8,3,2,2,2,2,1,2,1,2,1,2,9.txt
1,1,1,1,1,1,1,1,1,1,1,5,1,1,4,3,1,2,1,3,1,1,1,1,1,5,12.txt
1,1,1,1,1,1,1,1,1,1,1,5,1,1,4,3,1,2,1,1,1,1,1,1,1,4,14.txt
1,1,1,1,1,1,1,1,1,1,1,5,1,1,4,3,1,2,1,3,2,1,1,1,1,5,16.txt
1,1,1,1,1,1,1,1,1,1,1,5,1,1,4,3,1,2,1,3,1,1,1,1,1,4,17.txt
1,1,1,1,1,1,1,1,1,1,1,5,1,1,4,3,1,2,1,3,1,1,1,1,1,4,21.txt
1,1,1,1,1,1,1,1,1,1,1,5,1,1,4,3,1,2,1,3,2,1,1,1,1,5,23.txt
1,1,4,1,1,1,1,1,1,1,1,5,1,1,4,3,1,2,1,3,1,1,1,1,1,4,24.txt
1,1,4,1,1,1,1,1,1,1,1,5,1,1,4,3,1,2,1,1,1,1,1,1,1,4,26.txt
1,1,1,1,1,1,1,1,1,1,1,5,1,1,4,3,1,2,1,3,1,1,1,1,1,4,28.txt
4,3,4,1,1,1,5,3,1,3,1,5,1,2,4,3,1,2,1,1,1,3,1,1,1,4,30.txt
1,1,1,1,1,1,1,1,1,1,1,5,1,1,4,3,1,2,1,3,1,1,1,1,1,5,32.txt
1,1,4,1,1,1,1,1,1,1,1,5,1,1,4,3,1,2,1,3,2,1,1,1,1,4,34.txt
1,1,1,1,1,1,1,1,1,1,1,5,1,1,4,3,1,2,1,3,1,1,1,1,1,1,36.txt
1,1,1,1,1,1,1,1,1,1,1,5,1,1,4,3,1,2,1,3,2,1,1,1,1,4,40.txt
1,1,4,1,1,1,1,1,1,1,1,5,1,1,2,3,1,2,1,1,1,1,1,1,1,4,41.txt
1,1,1,1,1,1,1,1,1,1,1,5,1,1,4,3,1,2,1,3,1,1,1,1,1,1,49.txt
1,1,4,1,1,1,1,1,1,1,1,5,1,1,4,3,1,2,1,1,1,1,1,1,1,4,53.txt
1,1,4,1,1,1,1,1,1,1,1,5,1,1,4,3,1,2,1,3,1,1,1,1,1,4,55.txt
1,1,4,1,1,1,1,1,1,1,1,5,1,1,4,3,1,2,1,1,1,1,1,1,1,4,57.txt
1,1,1,1,1,1,1,1,1,1,1,5,1,1,4,3,1,2,1,1,1,1,1,1,1,1,60.txt
4,3,4,1,1,1,5,3,1,3,1,5,1,2,6,3,1,2,1,1,1,3,1,1,1,4,61.txt
1,1,1,1,1,1,1,1,1,1,1,5,1,1,4,3,1,2,1,3,2,1,1,1,1,4,63.txt
