0,1,2,3,4,filename
19,22,1,20,30,2.txt
23,17,1,19,30,5.txt
30,16,16,15,1,9.txt
19,22,21,20,25,12.txt
19,16,1,20,30,14.txt
19,16,21,20,16,16.txt
19,16,1,20,26,17.txt
19,16,1,20,26,21.txt
19,22,30,22,25,23.txt
19,22,1,30,30,24.txt
19,16,17,18,30,26.txt
19,16,1,20,16,28.txt
19,23,17,17,28,30.txt
19,21,21,21,25,32.txt
27,28,14,18,16,34.txt
19,16,28,20,25,36.txt
19,16,1,20,30,40.txt
19,22,1,20,30,41.txt
19,16,30,20,16,49.txt
19,16,25,20,30,53.txt
19,25,25,18,30,55.txt
19,23,17,20,30,57.txt
19,16,30,20,26,60.txt
19,21,17,15,27,61.txt
19,16,1,20,16,63.txt
19,21,25,18,30,65.txt
19,21,25,19,30,68.txt
19,16,17,19,30,71.txt
27,22,14,20,16,72.txt
19,23,18,20,19,76.txt
19,16,17,17,30,78.txt
19,22,30,20,25,81.txt
19,16,17,18,30,84.txt
19,16,30,20,25,86.txt
19,22,16,15,1,89.txt
19,16,30,20,25,90.txt
19,16,30,20,25,92.txt
19,21,1,20,30,95.txt
19,22,1,20,30,97.txt
19,16,1,30,26,98.txt
19,16,30,20,25,100.txt
19,16,1,20,30,102.txt
19,16,1,30,30,105.txt
19,16,1,20,26,108.txt
19,16,21,20,25,110.txt
19,16,1,20,30,112.txt
19,23,1,20,16,114.txt
19,22,25,22,30,116.txt
19,16,1,20,26,118.txt
19,21,21,20,16,121.txt
19,16,16,17,27,123.txt
19,22,1,30,16,124.txt
19,16,1,20,16,126.txt
19,16,1,20,25,128.txt
19,16,1,30,16,130.txt
19,16,18,30,17,132.txt
19,16,17,20,30,135.txt
19,23,21,20,18,137.txt
19,22,1,30,30,141.txt
19,16,1,20,30,144.txt
19,21,25,20,30,145.txt
27,16,30,20,16,147.txt
27,16,1,30,16,149.txt
19,16,17,30,30,151.txt
19,21,1,30,30,154.txt
19,16,1,20,26,156.txt
19,16,17,29,30,158.txt
19,16,21,20,25,160.txt
19,16,1,20,30,161.txt
19,22,16,15,1,163.txt
19,16,1,20,26,165.txt
19,16,17,17,28,167.txt
19,16,17,18,30,169.txt
19,16,1,20,26,171.txt
19,16,17,24,30,173.txt
19,16,17,20,30,175.txt
19,16,1,20,30,177.txt
19,16,1,20,30,179.txt
19,16,21,20,25,182.txt
19,16,1,20,26,184.txt
19,16,1,20,30,188.txt
19,16,16,17,27,189.txt
19,22,1,30,30,191.txt
19,19,14,24,30,194.txt
19,16,21,20,25,197.txt
19,22,1,22,30,199.txt
19,16,1,20,26,203.txt
19,16,21,20,16,204.txt
19,22,25,17,30,209.txt
19,16,1,20,30,210.txt
19,16,1,30,30,212.txt
19,22,16,23,16,214.txt
19,19,21,30,25,217.txt
19,23,21,20,18,219.txt
19,16,1,20,25,220.txt
19,22,1,20,25,222.txt
19,16,18,30,25,225.txt
19,16,1,19,30,227.txt
19,16,1,20,26,229.txt
19,16,21,20,16,231.txt
19,21,1,20,30,236.txt
19,22,17,20,30,241.txt
19,16,21,20,17,242.txt
19,16,1,20,30,245.txt
19,22,1,30,30,247.txt
19,22,18,21,19,249.txt
9,22,5,5,5,250.txt
19,16,1,20,30,252.txt
19,21,1,30,30,256.txt
19,16,1,20,30,258.txt
19,16,1,20,26,260.txt
19,25,17,18,30,261.txt
19,16,30,20,25,264.txt
19,16,21,20,19,269.txt
19,16,1,20,30,272.txt
19,16,30,30,25,274.txt
30,22,16,1,1,276.txt
19,22,30,30,25,280.txt
19,16,21,20,19,282.txt
19,22,1,20,30,283.txt
19,22,25,30,30,284.txt
19,22,17,20,30,286.txt
19,16,1,20,30,288.txt
19,16,14,30,30,290.txt
19,22,21,20,18,293.txt
19,16,17,17,30,295.txt
19,19,30,19,26,297.txt
19,22,17,18,30,300.txt
19,16,1,20,30,303.txt
19,16,17,24,30,305.txt
23,22,1,20,30,307.txt
19,22,1,20,30,311.txt
19,28,1,20,30,313.txt
19,28,30,19,25,318.txt
19,16,21,20,25,320.txt
19,21,17,16,15,322.txt
19,21,17,16,15,323.txt
19,21,1,30,26,324.txt
19,22,17,19,16,326.txt
30,22,22,19,1,328.txt
19,16,30,20,16,329.txt
19,16,21,30,16,333.txt
19,16,1,21,26,335.txt
19,16,18,20,25,337.txt
23,17,1,19,30,341.txt
19,22,16,15,24,342.txt
19,16,1,20,30,344.txt
19,16,17,20,30,347.txt
27,16,25,20,16,349.txt
30,16,16,15,1,352.txt
19,16,16,17,27,354.txt
19,16,30,30,25,358.txt
19,16,21,20,16,360.txt
19,16,17,18,30,362.txt
19,16,1,20,16,364.txt
19,16,1,20,26,365.txt
19,22,30,20,25,368.txt
19,16,17,20,30,369.txt
19,16,1,30,26,371.txt
19,21,25,19,30,375.txt
19,22,16,17,27,377.txt
19,16,17,17,30,380.txt
19,21,18,20,25,382.txt
19,21,1,21,30,385.txt
19,21,25,19,15,386.txt
19,25,1,20,25,387.txt
27,16,17,18,16,391.txt
19,16,1,20,16,394.txt
0,22,17,21,30,395.txt
19,16,1,20,26,397.txt
19,21,1,20,30,400.txt
19,21,1,30,16,402.txt
19,16,17,20,30,405.txt
19,16,1,20,17,407.txt
19,21,17,23,30,411.txt
19,16,17,18,30,413.txt
19,16,17,18,30,416.txt
19,21,1,20,16,417.txt
19,16,21,20,18,419.txt
19,16,1,20,16,421.txt
19,16,30,20,25,423.txt
19,16,17,17,27,425.txt
19,16,21,22,19,427.txt
19,16,21,20,17,430.txt
19,16,17,20,30,434.txt
19,22,30,30,25,436.txt
19,22,1,30,30,439.txt
19,22,30,20,25,444.txt
19,22,1,20,30,447.txt
19,22,14,20,18,449.txt
19,16,1,20,16,452.txt
19,22,17,17,16,454.txt
19,22,17,24,30,456.txt
19,16,1,20,30,458.txt
19,16,1,20,30,460.txt
19,16,1,20,30,463.txt
19,22,17,18,30,465.txt
19,23,1,21,30,469.txt
19,21,1,20,30,472.txt
19,23,17,20,30,473.txt
19,22,14,21,26,475.txt
19,16,1,20,30,477.txt
19,16,17,20,30,479.txt
19,16,17,24,30,481.txt
19,16,1,30,30,485.txt
19,16,1,20,16,487.txt
19,22,1,30,30,488.txt
19,16,1,20,25,491.txt
19,16,1,20,30,492.txt
19,16,1,19,30,494.txt
30,22,16,15,1,496.txt
19,16,18,20,25,498.txt
19,16,1,20,30,500.txt
30,22,16,17,1,502.txt
19,16,16,17,24,503.txt
19,22,17,30,30,505.txt
19,16,1,20,30,507.txt
19,22,25,30,30,510.txt
19,16,17,20,30,513.txt
19,16,30,20,25,516.txt
9,22,14,28,16,518.txt
19,21,21,19,16,521.txt
27,21,30,20,16,524.txt
25,16,16,1,1,527.txt
19,16,1,30,26,529.txt
19,22,16,17,1,530.txt
19,16,17,30,16,532.txt
19,16,25,30,30,534.txt
19,16,1,30,30,536.txt
19,16,1,30,26,538.txt
27,16,17,30,16,541.txt
19,16,1,30,30,543.txt
19,16,1,30,26,545.txt
19,22,21,30,25,549.txt
19,22,1,20,30,551.txt
19,16,25,20,30,554.txt
30,16,16,15,1,557.txt
19,16,1,20,30,558.txt
19,16,25,20,16,561.txt
17,21,17,21,15,564.txt
19,22,1,30,30,566.txt
3,22,1,30,30,568.txt
19,16,1,20,30,572.txt
19,16,30,30,16,574.txt
19,23,1,20,30,576.txt
19,16,30,30,25,578.txt
19,21,17,30,30,580.txt
19,23,1,20,30,582.txt
19,16,21,30,25,584.txt
19,21,17,17,15,586.txt
19,22,1,20,25,588.txt
19,22,17,20,30,591.txt
19,16,17,20,30,594.txt
19,16,1,20,26,596.txt
19,23,21,20,25,598.txt
19,16,30,20,25,600.txt
19,16,1,30,30,603.txt
19,28,25,18,16,604.txt
19,16,1,20,25,606.txt
19,16,1,30,26,607.txt
19,16,30,30,25,613.txt
19,16,30,20,25,615.txt
19,16,30,20,25,618.txt
19,16,21,20,16,621.txt
27,21,1,22,16,623.txt
19,21,25,20,30,624.txt
19,16,1,20,26,627.txt
19,22,1,30,30,628.txt
19,16,1,20,26,629.txt
17,21,21,20,18,631.txt
9,22,17,17,30,633.txt
19,16,1,30,30,635.txt
19,16,1,20,30,637.txt
19,16,1,30,16,642.txt
19,16,1,19,16,645.txt
19,19,30,19,30,647.txt
19,16,1,19,16,650.txt
19,22,1,20,30,652.txt
19,22,21,20,17,654.txt
19,22,1,30,30,657.txt
19,16,30,30,25,658.txt
19,16,21,20,18,662.txt
19,16,17,20,30,663.txt
19,16,1,20,30,665.txt
19,16,1,30,30,669.txt
19,16,30,20,16,671.txt
27,16,17,20,16,673.txt
19,16,17,18,30,675.txt
19,21,17,17,15,678.txt
19,16,17,30,30,680.txt
19,16,1,20,26,683.txt
19,16,21,20,19,685.txt
19,16,1,20,26,687.txt
19,16,1,20,30,689.txt
19,16,1,20,30,691.txt
19,21,1,21,26,695.txt
19,22,1,20,30,696.txt
27,21,17,20,16,700.txt
19,16,16,23,27,703.txt
19,21,21,20,25,705.txt
19,16,1,30,30,706.txt
19,17,14,30,25,709.txt
19,22,1,30,26,711.txt
21,16,1,20,26,712.txt
25,16,16,15,1,713.txt
19,16,21,22,18,716.txt
19,17,13,30,30,722.txt
19,16,1,20,16,724.txt
19,16,21,20,18,727.txt
19,16,17,17,30,728.txt
19,16,1,20,30,732.txt
19,16,17,20,30,734.txt
19,21,17,23,30,735.txt
19,22,1,20,30,737.txt
19,16,25,30,30,738.txt
19,16,21,20,25,741.txt
23,17,1,21,16,743.txt
19,23,25,20,30,747.txt
25,16,16,15,1,748.txt
19,16,1,20,16,751.txt
27,21,21,20,16,755.txt
19,22,17,18,30,756.txt
27,21,25,18,16,760.txt
19,16,30,22,16,765.txt
19,22,21,20,25,766.txt
4,16,1,20,16,768.txt
19,22,25,17,16,771.txt
19,22,14,20,16,772.txt
19,16,21,20,19,773.txt
19,22,17,17,30,775.txt
19,16,17,30,30,777.txt
19,22,25,20,30,779.txt
19,16,1,20,26,781.txt
19,16,1,20,26,785.txt
19,16,30,20,25,787.txt
19,21,25,18,30,790.txt
19,22,1,20,30,792.txt
19,16,17,18,30,796.txt
19,16,1,30,30,800.txt
19,16,1,30,30,802.txt
30,21,16,1,1,806.txt
19,16,1,20,26,807.txt
19,16,1,20,30,810.txt
19,16,30,20,25,813.txt
19,21,30,20,26,816.txt
19,16,21,20,19,817.txt
19,22,1,20,26,818.txt
