0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,filename
0,0,0,0,0,20,19,0,22,0,0,16,30,27,16,0,9,27,16,27,23,4,6,6,3,7,6,7,3,28,0,24,3,3,0,25,23,0,13,6,3,12,6,6,11,3,3,2,3,3,6,7,22,20,2.txt
27,29,23,8,30,5,14,28,4,19,6,7,4,21,4,18,6,6,3,1,30,26,24,1,27,20,4,6,10,7,6,6,1,13,21,9,30,5,9,3,29,25,22,25,8,29,1,10,13,15,25,22,23,23,5.txt
0,0,0,0,0,20,19,0,22,0,0,16,30,27,16,0,9,27,16,24,8,20,6,17,3,7,6,7,3,28,0,24,3,3,0,25,23,0,4,4,3,28,7,7,11,3,6,5,3,3,10,9,16,16,9.txt
0,0,0,0,0,20,19,0,22,0,0,16,30,27,16,0,9,27,16,24,23,4,6,6,3,7,6,7,3,28,17,23,3,3,16,12,13,9,15,24,3,12,6,6,11,28,3,2,30,15,6,5,5,5,12.txt
0,0,0,0,0,20,19,0,22,0,0,16,30,27,16,0,9,27,16,24,23,4,6,6,3,7,6,7,3,28,0,24,3,3,0,25,23,0,13,6,3,12,6,6,11,5,3,2,5,5,10,9,16,16,14.txt
0,0,0,0,0,26,19,0,23,0,0,0,0,28,16,0,9,27,16,24,12,6,27,19,14,9,9,11,3,10,5,5,16,0,4,11,12,17,10,29,5,3,21,23,3,3,0,0,3,3,17,17,13,13,16.txt
0,0,0,0,0,20,19,0,22,0,0,16,30,27,16,0,9,27,16,24,23,4,6,6,3,7,6,7,3,28,5,5,3,3,16,12,13,9,2,24,3,12,6,6,11,3,3,2,3,3,6,7,7,7,17.txt
0,0,0,0,0,20,19,0,22,0,0,16,30,27,16,0,9,27,16,24,23,4,6,6,3,7,6,7,3,28,0,24,3,3,0,25,23,0,13,6,3,12,6,6,11,3,3,2,3,3,6,7,9,9,21.txt
0,0,0,0,0,20,19,0,22,0,0,16,30,27,16,0,9,27,16,24,23,4,6,6,3,7,6,7,3,28,0,24,3,3,0,25,23,0,13,6,3,12,6,6,11,3,3,2,3,3,6,7,11,11,23.txt
0,0,0,0,0,20,19,0,22,0,0,16,30,27,16,0,9,27,16,24,23,4,6,20,3,7,6,7,3,28,16,23,13,3,16,12,13,9,15,24,0,12,3,8,11,3,9,11,3,3,25,26,7,7,24.txt
