0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,filename
1,3,1,1,8,0,1,1,4,0,1,7,10,5,5,5,2,3,2,2,2,2,2,2,3,20,11,6,6,12,9,6,7,12,12,6,16,6,9,6,6,6,10,7,4,4,4,4,12,4,4,2,2,2,2,2,0,2.txt
1,3,1,1,8,0,6,16,4,0,1,7,12,4,3,3,2,2,2,2,2,2,2,2,3,20,7,6,12,9,11,8,9,5,10,1,1,1,1,6,11,5,7,9,7,5,5,1,1,2,2,1,1,2,1,1,1,5.txt
5,1,4,3,8,0,1,1,4,2,1,1,10,3,4,3,5,3,2,4,2,2,3,2,4,4,19,11,8,8,8,9,16,16,9,12,9,14,2,8,8,1,1,1,1,1,1,1,1,7,2,3,3,0,0,0,2,9.txt
1,3,1,1,8,0,6,1,4,0,1,7,5,5,3,5,2,3,2,2,2,4,2,2,3,6,3,2,3,3,3,3,2,2,13,3,1,1,1,3,3,1,1,1,1,1,1,1,1,3,2,2,2,2,2,2,0,12.txt
1,1,1,1,8,0,1,1,4,0,1,7,5,3,5,3,2,3,2,2,2,2,2,2,3,20,7,6,10,9,11,8,9,12,12,6,16,6,9,6,6,8,7,7,10,5,6,6,11,4,4,2,2,2,2,2,1,14.txt
1,3,1,1,8,0,6,3,6,0,1,7,4,4,3,5,2,5,2,2,2,2,2,2,3,20,11,10,6,6,11,11,7,6,10,6,7,13,6,6,11,6,7,6,7,7,4,5,7,4,4,1,1,2,2,2,0,16.txt
1,3,1,1,8,0,1,1,4,0,1,7,10,3,5,5,2,3,2,2,2,3,2,2,3,20,13,10,6,6,11,11,2,6,10,10,17,6,1,6,6,1,1,1,1,1,1,1,1,4,2,2,2,2,2,2,0,17.txt
1,3,1,1,8,0,1,1,4,0,1,7,4,4,5,3,2,3,2,2,2,2,2,2,3,20,11,10,6,6,11,6,12,6,10,6,8,7,7,6,6,7,6,9,6,6,6,5,1,4,2,1,1,2,2,2,0,21.txt
1,3,1,1,8,0,1,11,4,0,1,7,5,5,5,3,2,3,2,2,2,2,2,2,3,20,13,10,6,14,11,11,14,6,10,6,7,12,10,6,11,6,7,6,7,7,7,5,3,4,2,2,2,2,2,2,0,23.txt
1,1,1,1,4,0,1,1,4,0,1,7,5,4,5,3,2,3,2,2,2,3,2,2,3,29,4,3,11,8,2,2,11,14,3,9,11,2,2,9,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,24.txt
1,1,1,1,8,0,7,1,4,0,1,7,10,3,5,3,2,3,2,2,2,2,2,2,3,4,4,3,8,8,2,2,3,20,3,9,10,2,2,9,0,2,8,8,8,8,8,0,9,1,1,0,0,0,0,0,1,26.txt
1,3,1,1,8,0,1,1,4,0,1,7,4,4,5,4,2,3,2,2,2,3,2,2,3,20,11,12,6,12,11,12,12,22,10,10,17,13,6,6,11,1,1,1,1,1,1,1,1,4,2,2,1,2,2,2,0,28.txt
5,1,1,1,8,0,3,1,5,0,1,7,4,4,5,5,2,3,2,4,2,2,2,2,3,2,4,3,8,2,2,2,3,20,3,2,9,2,2,8,8,2,8,8,8,8,8,7,0,6,0,1,1,0,0,0,1,30.txt
