0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,filename
0,7,0,0,3,0,0,0,0,2,0,6,0,0,6,5,0,0,0,0,2,9,2,2,2,2.txt
0,0,3,0,3,0,0,5,0,2,4,0,0,17,0,6,5,0,0,0,2,9,2,2,2,5.txt
6,7,3,0,3,0,3,0,4,2,0,6,0,6,5,5,0,4,0,7,2,12,2,2,7,9.txt
0,0,3,0,4,0,0,0,0,2,0,0,0,0,0,6,24,0,0,0,10,9,2,2,2,12.txt
0,0,0,0,3,0,0,0,0,2,0,6,0,0,0,0,11,0,0,0,2,9,2,2,2,14.txt
0,0,0,0,5,0,0,5,0,26,0,0,0,0,8,0,11,0,0,0,8,9,10,7,10,16.txt
0,0,3,0,4,0,0,0,0,2,0,0,0,0,0,6,5,0,0,0,10,9,2,2,10,17.txt
0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,11,0,0,0,2,9,2,2,2,21.txt
0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,7,11,0,0,0,2,9,2,2,2,23.txt
0,0,3,0,3,4,0,0,0,2,0,6,0,0,0,0,11,0,0,0,2,9,2,2,2,24.txt
0,7,0,0,3,0,0,0,0,2,0,6,0,0,6,5,0,0,0,0,2,9,2,2,2,26.txt
0,0,3,0,3,0,0,0,0,2,0,6,0,0,0,0,24,0,0,0,2,9,2,2,2,28.txt
0,7,0,0,3,0,3,0,0,2,0,6,0,0,6,5,11,0,0,0,2,3,2,2,2,30.txt
0,0,3,0,3,4,0,0,0,2,4,0,0,15,0,0,9,0,0,0,8,9,2,2,2,32.txt
0,7,0,0,3,0,0,5,0,2,0,6,0,0,6,5,11,0,0,0,2,9,2,2,2,34.txt
0,0,3,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,9,2,2,2,36.txt
0,0,0,0,3,0,0,0,0,2,0,6,0,0,0,6,11,0,0,0,2,9,2,2,2,40.txt
