0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,filename
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,30,5,10,0,0,8,1,0,25,6,6,30,8,28,23,26,0,10,0,29,3,30,3,1,1,1,1,1,0,0,0,4,4,8,7,8,9,5,29,7,7,26,13,2.txt
22,8,11,1,16,18,16,3,29,16,16,5,22,18,7,5,12,5,20,30,11,27,12,1,7,9,12,1,13,10,9,9,9,8,1,20,21,14,16,17,26,28,26,1,1,29,10,25,6,20,14,0,22,12,16,1,1,1,5,6,5.txt
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,30,3,10,0,0,18,1,0,2,2,2,2,2,2,2,23,30,2,0,0,30,0,4,1,29,1,1,1,24,20,17,3,3,27,2,2,2,2,2,2,2,0,0,9.txt
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,15,0,0,0,9,1,0,9,12,1,13,10,9,9,9,8,1,0,0,2,0,2,26,28,26,1,1,1,1,1,1,1,14,1,1,1,1,1,1,1,5,6,12.txt
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,30,15,10,0,0,9,1,0,4,14,13,16,21,2,2,23,30,2,0,0,2,0,2,26,28,26,1,1,0,0,0,4,4,8,3,3,3,5,15,14,16,14,17,14.txt
0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,29,0,0,15,2,0,0,9,0,0,12,14,13,16,21,2,2,23,30,2,0,0,2,0,2,0,0,0,0,0,0,0,0,13,2,2,3,3,3,4,21,7,9,3,17,16.txt
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,30,15,0,0,0,9,1,0,9,12,1,13,10,2,2,23,30,2,0,0,2,0,2,26,28,26,1,1,14,29,25,6,20,17,4,4,4,29,1,1,1,5,6,17.txt
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,30,15,0,0,0,9,1,0,4,14,13,16,21,9,9,9,8,1,0,0,2,0,2,26,28,26,1,1,20,19,2,13,2,14,3,3,3,19,29,7,16,3,17,21.txt
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,15,0,0,0,9,1,0,9,12,1,13,10,9,9,9,8,1,0,0,2,0,2,26,28,26,1,1,1,1,1,1,1,14,1,1,1,1,1,1,1,5,6,23.txt
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,30,24,10,0,0,18,1,0,9,12,1,13,10,9,9,9,8,1,0,0,2,0,2,26,28,26,1,1,12,10,25,6,20,14,0,8,12,19,1,1,1,5,6,24.txt
