0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,filename
0,0,0,0,0,0,0,0,0,2,0,3,0,1,1,1,1,2.txt
0,0,0,0,2,0,0,0,0,0,0,0,0,2,4,1,1,5.txt
0,1,2,2,2,0,0,2,0,2,3,3,0,1,3,3,6,9.txt
1,0,0,0,2,0,0,0,0,0,0,3,0,2,1,1,1,12.txt
0,0,0,0,2,0,0,0,0,2,0,3,0,1,4,1,1,14.txt
2,0,0,0,4,0,0,0,0,3,0,0,0,1,1,1,1,16.txt
0,0,0,0,2,0,0,0,0,0,0,3,0,1,1,1,1,17.txt
0,0,0,0,2,0,0,0,0,0,0,3,0,1,1,1,1,21.txt
0,0,0,0,2,0,0,0,0,0,0,3,0,2,4,1,1,23.txt
0,0,0,0,2,0,0,0,0,2,0,3,0,1,4,1,1,24.txt
0,0,0,0,2,0,0,0,0,2,0,3,0,1,4,1,1,26.txt
0,0,0,0,2,0,0,0,0,0,0,3,0,2,4,1,1,28.txt
0,0,0,0,2,0,0,0,0,2,0,3,0,1,4,1,1,30.txt
1,0,0,0,2,0,0,0,0,0,0,0,0,2,4,1,1,32.txt
0,0,0,0,2,0,0,0,0,2,0,3,0,1,4,1,1,34.txt
0,0,0,0,4,0,0,0,0,0,0,3,0,2,1,1,1,36.txt
0,0,0,0,2,0,0,0,0,0,0,3,0,2,4,1,1,40.txt
0,0,0,0,2,0,0,0,0,2,0,3,0,1,1,1,1,41.txt
0,0,0,0,2,0,0,0,0,0,0,3,0,1,4,1,1,49.txt
0,0,0,0,2,0,0,0,0,2,0,3,0,1,4,1,1,53.txt
0,0,0,0,2,0,0,0,0,2,0,3,0,1,1,1,1,55.txt
0,0,0,0,2,0,0,0,0,2,0,3,0,1,4,1,1,57.txt
0,0,0,0,2,0,0,0,0,0,0,3,0,1,4,1,1,60.txt
0,0,0,0,2,0,0,0,0,2,0,3,0,1,4,1,1,61.txt
0,0,0,0,2,0,0,0,0,2,0,3,0,1,4,1,1,63.txt
0,0,0,0,2,0,0,0,0,2,0,3,0,1,4,1,1,65.txt
0,0,0,0,2,0,0,0,0,0,0,0,0,1,4,1,1,68.txt
0,0,0,0,2,0,0,0,0,2,0,3,0,2,1,1,1,71.txt
1,0,0,0,2,0,0,0,0,3,0,0,0,1,1,1,1,72.txt
1,0,0,0,2,0,0,0,0,3,0,3,0,1,1,1,1,76.txt
0,0,0,0,2,0,0,0,0,2,0,3,0,1,1,1,1,78.txt
0,0,0,0,0,0,0,0,0,0,0,3,0,2,1,1,1,81.txt
0,0,0,0,2,0,0,0,0,2,0,3,0,1,4,1,1,84.txt
0,0,0,0,2,0,0,0,0,0,0,3,0,1,4,1,1,86.txt
0,1,2,1,2,0,0,0,0,2,0,3,0,1,4,1,1,89.txt
0,0,0,0,2,0,0,0,0,0,0,3,0,1,1,1,1,90.txt
0,0,0,0,2,0,0,0,0,0,0,3,0,1,4,1,1,92.txt
0,0,0,0,2,0,0,0,0,0,0,3,0,1,4,1,1,95.txt
0,0,0,0,2,0,0,0,0,2,0,3,0,2,1,1,1,97.txt
