0,1,2,3,filename
25,28,28,29,2.txt
22,27,23,21,5.txt
25,28,28,29,9.txt
18,28,28,29,12.txt
18,28,28,29,14.txt
18,28,28,29,16.txt
18,28,28,29,17.txt
18,28,28,29,21.txt
18,28,28,29,23.txt
25,28,28,29,24.txt
25,28,28,29,26.txt
18,28,28,29,28.txt
25,28,28,29,30.txt
18,28,28,29,32.txt
25,28,28,29,34.txt
18,28,28,29,36.txt
18,28,28,29,40.txt
25,28,28,29,41.txt
18,28,28,29,49.txt
25,28,28,29,53.txt
25,28,28,29,55.txt
25,28,28,29,57.txt
18,28,28,29,60.txt
25,28,28,29,61.txt
18,28,28,29,63.txt
25,28,28,29,65.txt
28,28,28,29,68.txt
25,28,28,29,71.txt
18,28,28,29,72.txt
18,24,28,29,76.txt
25,28,28,29,78.txt
18,28,28,29,81.txt
25,28,28,29,84.txt
18,28,28,29,86.txt
25,28,28,29,89.txt
18,28,28,29,90.txt
18,28,28,29,92.txt
18,28,28,29,95.txt
25,28,28,29,97.txt
18,28,28,29,98.txt
18,28,28,29,100.txt
25,28,28,29,102.txt
18,28,28,29,105.txt
18,28,28,29,108.txt
18,28,28,29,110.txt
18,28,28,29,112.txt
25,24,28,29,114.txt
25,28,28,29,116.txt
18,28,28,29,118.txt
18,28,28,29,121.txt
25,28,28,29,123.txt
18,28,28,29,124.txt
18,28,28,29,126.txt
18,28,28,29,128.txt
18,28,28,29,130.txt
18,28,28,29,132.txt
25,28,28,29,135.txt
17,20,28,29,137.txt
18,28,28,29,141.txt
18,28,28,29,144.txt
18,28,28,29,145.txt
18,28,28,29,147.txt
25,28,28,29,149.txt
25,28,28,29,151.txt
18,28,28,29,154.txt
18,28,28,29,156.txt
25,28,28,29,158.txt
18,28,28,29,160.txt
18,28,28,29,161.txt
25,28,28,29,163.txt
18,28,28,29,165.txt
25,28,28,29,167.txt
25,28,28,29,169.txt
18,28,28,29,171.txt
25,28,28,29,173.txt
25,28,28,29,175.txt
18,28,28,29,177.txt
18,28,28,29,179.txt
18,28,28,29,182.txt
18,28,28,29,184.txt
25,28,28,29,188.txt
25,28,28,29,189.txt
18,28,28,29,191.txt
28,28,12,3,194.txt
18,28,28,29,197.txt
18,28,28,29,199.txt
18,28,28,29,203.txt
18,28,28,29,204.txt
25,28,28,29,209.txt
18,28,28,29,210.txt
18,28,28,29,212.txt
25,28,28,29,214.txt
18,28,11,12,217.txt
18,28,28,29,219.txt
18,28,28,29,220.txt
18,28,28,29,222.txt
18,28,28,29,225.txt
18,28,28,29,227.txt
18,28,28,29,229.txt
18,28,28,29,231.txt
18,28,28,29,236.txt
25,28,28,29,241.txt
18,28,28,29,242.txt
18,28,28,29,245.txt
26,28,28,29,247.txt
