0,1,2,3,filename
0,1,11,4,2.txt
8,1,11,4,5.txt
18,7,6,0,9.txt
0,1,14,4,12.txt
0,1,11,4,14.txt
0,1,14,4,16.txt
0,1,11,4,17.txt
0,1,11,4,21.txt
0,1,13,4,23.txt
0,1,11,4,24.txt
0,1,11,2,26.txt
0,1,11,4,28.txt
0,1,11,2,30.txt
0,1,14,4,32.txt
0,1,11,2,34.txt
0,1,14,4,36.txt
0,1,11,4,40.txt
0,1,11,4,41.txt
0,1,13,4,49.txt
0,1,11,2,53.txt
0,1,11,2,55.txt
0,1,11,2,57.txt
0,1,11,4,60.txt
0,1,11,2,61.txt
0,1,11,4,63.txt
0,1,11,2,65.txt
0,1,11,2,68.txt
0,1,11,2,71.txt
0,1,14,4,72.txt
0,1,14,4,76.txt
0,1,11,2,78.txt
0,1,14,4,81.txt
0,1,11,2,84.txt
0,1,14,4,86.txt
19,1,11,2,89.txt
0,1,14,4,90.txt
0,1,14,4,92.txt
0,1,11,4,95.txt
0,1,11,4,97.txt
0,1,11,4,98.txt
0,1,14,4,100.txt
0,1,11,4,102.txt
0,1,11,4,105.txt
0,1,11,4,108.txt
0,1,14,4,110.txt
0,1,11,4,112.txt
0,1,11,4,114.txt
0,1,11,2,116.txt
0,1,11,4,118.txt
0,1,13,4,121.txt
20,1,11,2,123.txt
0,1,11,4,124.txt
0,1,11,4,126.txt
0,1,11,4,128.txt
0,1,11,4,130.txt
0,1,14,4,132.txt
0,1,11,2,135.txt
0,1,14,4,137.txt
0,1,11,4,141.txt
0,1,11,4,144.txt
0,1,11,4,145.txt
0,1,14,4,147.txt
0,1,11,4,149.txt
0,1,11,2,151.txt
0,1,11,4,154.txt
0,1,11,4,156.txt
0,1,11,2,158.txt
0,1,14,4,160.txt
0,1,11,4,161.txt
20,1,11,2,163.txt
0,1,11,4,165.txt
0,1,11,2,167.txt
0,1,11,2,169.txt
0,1,11,4,171.txt
0,1,11,2,173.txt
0,1,11,4,175.txt
0,1,11,4,177.txt
0,1,11,4,179.txt
0,1,14,4,182.txt
0,1,11,4,184.txt
0,1,11,4,188.txt
20,1,11,2,189.txt
0,1,11,4,191.txt
0,8,11,4,194.txt
0,1,14,4,197.txt
0,1,11,4,199.txt
0,1,11,4,203.txt
0,1,14,4,204.txt
0,1,11,2,209.txt
0,1,11,4,210.txt
0,1,11,4,212.txt
0,1,11,2,214.txt
0,1,14,4,217.txt
0,1,14,4,219.txt
0,1,13,4,220.txt
0,1,13,4,222.txt
0,1,14,4,225.txt
0,1,11,4,227.txt
0,1,11,4,229.txt
0,1,14,4,231.txt
0,1,11,4,236.txt
0,1,11,2,241.txt
0,1,14,4,242.txt
0,1,11,4,245.txt
0,1,11,4,247.txt
0,1,14,4,249.txt
0,1,14,4,250.txt
0,1,11,4,252.txt
0,1,11,4,256.txt
0,1,11,4,258.txt
0,1,11,4,260.txt
0,1,11,2,261.txt
0,1,14,4,264.txt
0,1,14,4,269.txt
0,1,11,4,272.txt
0,1,11,4,274.txt
18,7,4,1,276.txt
0,1,14,4,280.txt
0,1,14,4,282.txt
