0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,filename
0,0,13,0,0,0,24,0,0,7,13,6,5,29,3,26,30,5,28,3,22,30,12,12,17,26,12,3,15,3,20,8,19,24,16,19,14,19,24,20,2,2,6,2,0,2,2,2,2,13,0,29,6,11,5,20,7,14,1,7,4,30,7,13,5,2.txt
16,0,2,23,23,1,6,5,5,16,22,5,7,2,8,20,6,21,22,29,16,19,21,9,3,1,2,6,2,8,27,11,9,15,21,20,6,10,24,22,18,13,13,7,0,0,0,0,0,9,0,9,13,15,13,29,3,28,0,30,7,14,20,7,16,5.txt
0,0,13,0,0,30,15,0,0,30,24,6,5,29,4,27,30,5,28,4,5,20,27,27,27,26,4,7,23,29,14,6,15,19,7,29,18,19,24,27,15,14,17,1,1,11,11,4,10,15,7,6,4,3,30,2,2,2,2,3,2,8,2,13,2,9.txt
0,0,13,0,0,0,24,0,0,7,0,6,5,29,0,26,30,5,17,24,22,30,23,20,22,26,23,6,17,8,21,2,18,0,21,18,6,19,24,9,18,0,13,0,0,0,0,0,0,1,0,9,1,1,25,29,3,28,0,5,1,1,1,7,27,12.txt
0,0,13,0,0,0,24,0,0,7,24,6,5,29,4,26,30,5,28,4,22,30,26,26,26,26,4,6,23,8,13,2,27,13,21,18,14,19,24,9,18,0,13,0,0,2,2,2,2,13,0,9,4,3,30,29,3,28,0,3,4,17,4,13,5,14.txt
0,0,13,0,0,0,24,0,0,7,13,6,5,29,4,26,30,5,28,4,22,30,26,26,26,26,4,6,4,8,13,2,27,13,21,19,14,19,24,9,18,0,13,0,0,2,2,2,2,13,0,9,0,0,0,29,3,28,0,5,4,4,4,13,7,16.txt
0,0,13,0,0,0,24,0,0,30,0,6,5,29,0,26,30,5,17,24,22,30,23,20,22,26,23,6,17,8,21,2,18,0,21,29,6,19,24,27,18,0,13,0,0,0,0,0,0,9,0,9,6,11,5,29,3,28,0,8,7,8,14,7,16,17.txt
0,0,13,0,0,0,24,0,0,7,0,6,5,29,0,26,30,5,17,24,22,30,23,20,22,26,23,6,17,8,21,2,18,0,21,18,6,19,24,9,18,0,13,0,0,0,0,0,0,0,0,9,4,3,30,29,3,28,0,3,4,3,23,7,7,21.txt
0,0,13,0,0,0,24,0,0,7,0,6,5,29,0,26,30,5,17,24,22,30,23,20,22,26,23,6,17,8,21,2,18,0,21,18,6,19,24,9,18,0,13,0,0,0,0,0,0,1,0,9,1,1,25,29,3,28,0,5,1,1,1,0,27,23.txt
0,0,13,0,0,0,24,0,0,7,24,6,5,29,4,26,30,5,14,4,22,30,26,26,26,26,4,6,23,8,13,2,27,13,21,18,15,19,24,9,18,0,13,0,0,2,2,2,2,9,0,9,4,3,30,29,3,28,0,5,7,28,12,15,13,24.txt
0,0,13,0,0,0,24,0,0,30,0,7,19,8,0,26,7,10,17,24,22,30,23,20,22,16,23,3,17,3,21,2,18,0,3,29,2,27,26,27,2,2,5,2,0,0,0,0,0,0,0,2,4,3,30,2,2,2,2,3,2,3,2,0,2,26.txt
0,0,13,0,0,0,24,0,0,7,24,6,5,29,4,26,30,5,28,4,22,30,26,26,26,26,4,6,23,8,13,2,27,13,21,18,18,19,24,9,18,0,13,0,4,26,30,2,19,9,4,9,4,3,30,29,3,28,0,5,7,3,18,13,13,28.txt
0,0,13,0,0,0,24,0,0,7,0,0,0,12,0,26,8,11,17,24,22,30,23,20,22,26,23,3,17,3,21,2,18,0,16,18,2,27,26,9,2,2,6,2,0,0,0,0,0,0,0,2,4,3,30,2,2,2,2,3,2,0,2,0,2,30.txt
23,0,29,3,16,5,30,30,30,15,29,13,13,11,14,7,12,4,16,29,21,11,21,16,3,2,28,27,9,23,27,11,9,11,7,14,22,15,22,15,17,30,7,11,19,30,25,20,28,27,3,4,12,26,12,19,29,20,16,21,12,26,5,20,25,32.txt
0,0,13,0,0,30,24,0,0,30,24,11,11,12,22,27,8,11,28,19,5,15,27,27,27,26,4,7,23,29,13,2,27,13,2,29,7,11,23,27,9,9,10,14,18,12,12,4,13,13,7,6,4,3,30,25,29,13,16,13,8,8,5,18,12,34.txt
0,0,13,0,0,0,24,0,0,7,13,6,5,29,4,26,30,5,28,4,22,30,27,27,27,26,4,6,4,8,14,8,15,14,16,19,15,19,24,21,2,2,6,2,0,2,2,2,2,29,0,27,0,0,0,12,7,11,1,1,7,8,23,13,20,36.txt
0,0,13,0,0,0,24,0,0,7,0,6,5,29,0,26,30,5,17,24,22,30,23,20,22,26,23,6,17,8,21,2,18,0,21,18,6,19,24,9,18,0,13,0,0,0,0,0,0,1,0,9,1,1,25,29,3,28,0,5,1,1,1,0,27,40.txt
0,0,13,0,0,0,24,0,0,30,24,11,23,22,22,26,13,20,28,19,22,30,27,27,27,26,4,3,23,3,13,2,27,13,16,29,21,11,23,27,2,2,6,2,0,2,2,2,2,13,0,27,8,11,8,12,7,13,1,10,4,8,5,13,5,41.txt
0,0,13,0,0,0,24,0,0,7,0,6,5,29,0,26,30,5,17,24,22,30,23,20,22,26,23,6,17,8,21,2,18,0,21,18,6,19,24,9,18,0,13,0,0,0,0,0,0,1,0,9,1,1,25,29,3,28,0,5,1,1,1,0,27,49.txt
0,0,13,0,0,30,24,0,0,7,24,6,5,29,4,27,30,5,28,4,5,20,27,27,27,26,4,7,23,29,13,2,27,13,2,29,14,19,24,27,9,9,10,1,1,11,11,4,10,0,7,6,4,3,30,12,7,13,1,3,4,8,4,13,11,53.txt
0,0,13,0,0,0,24,0,0,7,0,6,5,29,0,26,30,5,17,24,22,30,23,20,22,26,23,3,17,3,21,2,18,0,16,18,6,19,24,9,2,2,6,2,0,0,0,0,0,13,0,27,6,11,5,12,7,13,26,7,4,8,4,0,5,55.txt
0,0,13,0,0,0,24,0,0,7,0,6,5,29,0,26,30,5,17,24,22,30,23,20,22,26,23,6,17,8,21,2,18,0,21,18,6,19,24,9,18,0,13,0,0,0,0,0,0,0,0,9,2,2,2,29,3,28,0,5,2,0,2,0,2,57.txt
0,0,13,0,0,0,24,0,0,7,0,6,5,29,0,26,30,5,17,24,22,30,23,20,22,26,23,6,17,8,21,2,18,0,21,18,6,19,24,9,18,0,13,0,0,0,0,0,0,1,0,9,1,1,25,29,3,28,0,5,1,1,1,0,27,60.txt
0,0,13,0,0,0,24,0,0,30,24,11,11,12,4,26,8,11,28,4,22,30,6,6,6,26,12,4,23,28,13,2,27,13,2,29,21,11,23,27,9,9,10,3,3,11,11,21,10,0,22,19,3,5,21,19,7,14,1,18,4,8,0,13,5,61.txt
0,0,13,0,0,0,24,0,0,7,0,6,5,29,0,26,30,5,17,24,22,30,23,20,22,26,23,6,17,8,21,2,18,0,21,17,6,19,24,8,18,0,13,0,0,0,0,0,0,1,0,9,1,1,25,29,3,28,0,5,1,1,1,7,27,63.txt
5,0,13,0,0,0,30,30,30,30,24,13,13,6,2,26,12,19,14,13,22,30,2,8,3,5,7,3,7,3,11,17,12,9,16,29,2,27,26,27,2,2,6,2,0,2,2,2,2,29,0,2,25,25,23,2,2,2,2,16,2,4,2,1,2,65.txt
16,0,29,23,23,1,6,5,5,15,6,4,4,2,5,8,5,27,16,29,8,8,21,2,3,1,7,6,21,8,27,17,12,9,21,20,18,9,24,22,18,12,13,6,0,2,2,15,2,0,0,9,2,2,2,29,3,28,0,29,2,3,2,13,2,68.txt
0,0,13,0,0,0,25,0,0,7,24,11,11,19,4,26,13,16,28,4,22,30,27,27,27,26,4,3,23,3,14,0,15,19,16,18,2,27,26,21,2,2,6,2,0,2,2,2,2,3,0,2,6,11,5,2,2,2,2,7,2,8,2,13,2,71.txt
0,0,13,0,0,0,24,0,0,7,24,6,5,29,22,26,30,5,28,19,22,30,27,27,27,26,4,6,23,8,13,2,27,13,21,18,18,19,24,9,18,13,13,7,0,2,2,2,2,9,0,9,4,3,7,29,3,28,0,5,7,8,23,13,16,72.txt
0,0,13,0,0,0,24,0,0,7,0,6,5,29,0,26,30,5,17,24,22,30,23,20,22,26,23,6,17,8,21,2,18,0,21,18,6,19,24,9,18,0,13,0,8,0,0,0,0,1,26,9,1,1,25,29,3,28,0,5,1,1,1,0,27,76.txt
0,0,13,0,0,30,24,0,0,30,24,11,11,15,6,27,13,15,28,5,18,14,12,12,17,26,12,18,5,29,16,2,17,18,2,29,25,26,12,27,9,9,10,5,6,12,12,5,13,0,1,1,0,0,0,23,18,25,24,1,16,13,5,30,5,78.txt
0,0,13,0,0,0,24,0,0,7,24,6,5,29,4,26,30,5,28,4,22,30,12,12,12,26,12,6,24,8,13,2,27,13,21,19,18,19,24,9,18,0,13,0,4,26,30,2,22,9,4,9,10,11,26,29,3,28,0,8,4,3,10,13,15,81.txt
0,0,13,0,0,0,24,0,0,7,0,6,5,29,0,26,30,5,17,24,22,30,23,20,22,26,23,3,17,3,21,2,18,0,3,29,6,19,24,27,2,2,5,2,0,0,0,0,0,0,0,2,4,3,30,12,7,13,1,3,27,3,4,0,5,84.txt
0,0,13,0,0,0,24,0,0,7,0,6,5,29,0,26,30,5,17,24,22,30,23,20,22,26,23,6,17,8,21,2,18,0,21,18,6,19,24,9,18,0,13,0,0,0,0,0,0,1,0,9,1,1,25,29,3,28,0,5,1,1,1,0,27,86.txt
0,0,13,0,0,30,24,0,0,7,0,6,5,29,0,27,30,5,17,24,5,20,23,20,22,26,23,9,17,29,21,2,18,0,7,18,6,19,24,9,8,14,9,3,3,11,11,23,10,13,6,5,4,3,30,6,7,6,6,3,4,5,5,0,5,89.txt
0,0,13,0,0,0,24,0,0,7,24,6,5,29,4,26,30,5,28,4,22,30,26,26,26,26,4,6,23,8,13,2,27,13,21,18,15,19,24,9,18,0,13,0,0,2,2,2,2,12,0,9,6,8,5,29,3,28,0,5,4,8,4,13,5,90.txt
0,0,13,0,0,0,24,0,0,7,18,6,5,29,0,26,30,5,17,24,22,30,23,20,22,26,23,6,17,8,21,2,18,0,21,18,6,19,24,9,18,0,18,0,0,0,0,0,0,1,0,13,1,1,25,29,3,28,0,5,1,1,1,0,27,92.txt
5,24,13,0,0,0,30,30,30,30,0,13,13,6,0,26,12,4,17,29,22,30,23,20,22,26,23,15,9,12,4,17,12,9,16,14,2,27,26,11,5,5,6,8,4,0,0,0,0,0,4,2,12,14,12,2,2,2,2,3,2,3,2,0,2,95.txt
